"No.","Time","Source","Destination","Protocol","Length","Info"
"119","124.560546559","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=15343 Ack=1617 Win=65535 Len=0"
"120","124.697515468","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"121","124.697635836","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1617 Ack=15414 Win=65535 Len=0"
"122","139.319855563","157.240.196.60","10.0.2.15","TCP","1514","443  >  53210 [ACK] Seq=15414 Ack=1617 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"123","139.319950920","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1617 Ack=16874 Win=65535 Len=0"
"124","139.320288096","157.240.196.60","10.0.2.15","TLSv1.2","157","Application Data, Application Data"
"125","139.320305170","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1617 Ack=16977 Win=65535 Len=0"
"126","139.549771361","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"127","139.550229876","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=16977 Ack=1707 Win=65535 Len=0"
"128","146.806377449","157.240.196.60","10.0.2.15","TLSv1.2","124","Application Data"
"129","146.806450701","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1707 Ack=17047 Win=65535 Len=0"
"134","152.224146297","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"135","152.227162228","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=17047 Ack=1776 Win=65535 Len=0"
"136","152.372216050","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"137","152.372380915","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1776 Ack=17118 Win=65535 Len=0"
"138","154.383536051","157.240.196.60","10.0.2.15","TCP","1446","443  >  53210 [PSH, ACK] Seq=17118 Ack=1776 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"139","154.383601890","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1776 Ack=18510 Win=65535 Len=0"
"140","154.384200863","157.240.196.60","10.0.2.15","TLSv1.2","241","Application Data, Application Data"
"141","154.384237495","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1776 Ack=18697 Win=65535 Len=0"
"142","154.604329348","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"143","154.604715623","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=18697 Ack=1866 Win=65535 Len=0"
