"No.","Time","Source","Destination","Protocol","Length","Info"
"16605","80.814322554","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16606","80.814463662","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16607","80.814612704","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16608","80.814829991","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16609","80.815001654","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16610","80.815011323","10.0.2.15","192.114.46.177","UDP","77","52717  >  443 Len=35"
"16611","80.815101415","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16612","80.815351784","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16613","80.815468506","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16614","80.815637094","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16615","80.815775043","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16616","80.815922375","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16617","80.816141200","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16618","80.816211546","10.0.2.15","192.114.46.177","UDP","77","52717  >  443 Len=35"
"16619","80.816255565","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16620","80.816512575","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16621","80.816628477","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16622","80.816817715","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16623","80.816987075","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16624","80.817213727","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16625","80.817385306","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16626","80.817419632","10.0.2.15","192.114.46.177","UDP","76","52717  >  443 Len=34"
"16627","80.817528534","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16628","80.817838712","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16629","80.817902323","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16630","80.818108765","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16631","80.818388542","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16632","80.818521282","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16633","80.818542726","10.0.2.15","192.114.46.177","UDP","76","52717  >  443 Len=34"
"16634","80.818641182","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16635","80.818846638","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16636","80.819064094","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16637","80.819198617","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16638","80.819351972","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16639","80.819551797","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16640","80.819683302","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16641","80.819689482","10.0.2.15","192.114.46.177","UDP","77","52717  >  443 Len=35"
"16642","80.819841387","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16643","80.820082268","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16644","80.820225102","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16645","80.820374417","10.0.2.15","192.114.46.177","UDP","79","52717  >  443 Len=37"
"16646","80.820436775","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16647","80.820562630","10.0.2.15","192.114.46.177","UDP","79","52717  >  443 Len=37"
"16648","80.820623722","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16649","80.820749066","10.0.2.15","192.114.46.177","UDP","79","52717  >  443 Len=37"
"16650","80.820814424","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16651","80.820910323","10.0.2.15","192.114.46.177","UDP","79","52717  >  443 Len=37"
"16652","80.821067773","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16653","80.821198231","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
"16654","80.821451323","192.114.46.177","10.0.2.15","UDP","1292","443  >  52717 Len=1250"
