"No.","Time","Source","Destination","Protocol","Length","Info"
"80","133.546591213","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1294 Ack=6048 Win=65535 Len=0"
"81","133.780158520","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"82","133.780571713","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=6048 Ack=1384 Win=65535 Len=0"
"83","136.908571089","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"84","136.911389614","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=6048 Ack=1453 Win=65535 Len=0"
"85","137.048719495","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"86","137.048785244","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1453 Ack=6119 Win=65535 Len=0"
"87","148.190818578","157.240.196.60","10.0.2.15","TLSv1.2","601","Application Data"
"88","148.190873066","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1453 Ack=6666 Win=65535 Len=0"
"89","148.388068151","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"90","148.388994593","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=6666 Ack=1543 Win=65535 Len=0"
"93","162.017470617","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"94","162.020209598","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=6666 Ack=1612 Win=65535 Len=0"
"95","162.157783340","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"96","162.157833198","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1612 Ack=6737 Win=65535 Len=0"
"97","163.277773230","157.240.196.60","10.0.2.15","TLSv1.2","601","Application Data"
"98","163.277818033","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1612 Ack=7284 Win=65535 Len=0"
"99","163.472887516","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"100","163.473335355","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=7284 Ack=1702 Win=65535 Len=0"
