"No.","Time","Source","Destination","Protocol","Length","Info"
"101","133.950139012","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=1547 Ack=8921 Win=65535 Len=0"
"102","134.002909029","10.0.2.15","157.240.196.60","TLSv1.2","126","Application Data"
"103","134.003311664","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=8921 Ack=1619 Win=65535 Len=0"
"104","138.325371870","10.0.2.15","157.240.196.60","TLSv1.2","1938","Application Data"
"105","138.326064769","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=8921 Ack=3079 Win=65535 Len=0"
"106","138.326064860","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=8921 Ack=3503 Win=65535 Len=0"
"107","138.463113066","157.240.196.60","10.0.2.15","TLSv1.2","117","Application Data"
"108","138.463149061","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=3503 Ack=8984 Win=65535 Len=0"
"109","139.612547909","157.240.196.60","10.0.2.15","TLSv1.2","330","Application Data"
"110","139.612587927","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=3503 Ack=9260 Win=65535 Len=0"
"111","139.619973970","10.0.2.15","157.240.196.60","TLSv1.2","125","Application Data"
"112","139.620392723","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=9260 Ack=3574 Win=65535 Len=0"
"113","146.693411502","157.240.196.60","10.0.2.15","TLSv1.2","859","Application Data"
"114","146.740838486","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=3574 Ack=10065 Win=65535 Len=0"
"115","146.909582923","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"116","146.910178407","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=10065 Ack=3664 Win=65535 Len=0"
"119","154.489236146","10.0.2.15","157.240.196.60","TLSv1.2","123","Application Data"
"120","154.492462104","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=10065 Ack=3733 Win=65535 Len=0"
"121","154.630467314","157.240.196.60","10.0.2.15","TLSv1.2","125","Application Data"
"122","154.630523730","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=3733 Ack=10136 Win=65535 Len=0"
"123","159.329589592","157.240.196.60","10.0.2.15","TLSv1.2","331","Application Data"
"124","159.329655369","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=3733 Ack=10413 Win=65535 Len=0"
"125","159.341740447","10.0.2.15","157.240.196.60","TLSv1.2","126","Application Data"
"126","159.342168796","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=10413 Ack=3805 Win=65535 Len=0"
"127","162.196466463","157.240.196.60","10.0.2.15","TLSv1.2","859","Application Data"
"128","162.237196201","10.0.2.15","157.240.196.60","TCP","54","53210  >  443 [ACK] Seq=3805 Ack=11218 Win=65535 Len=0"
"129","162.386350258","10.0.2.15","157.240.196.60","TLSv1.2","144","Application Data"
"130","162.387827525","157.240.196.60","10.0.2.15","TCP","60","443  >  53210 [ACK] Seq=11218 Ack=3895 Win=65535 Len=0"
